"aname1","aname2","aname3","aname4","aname5","aname6","aname7","aname8"
"경기안성시홍익점","경기","안성시","경기 안성시 금광면 신양복길","경기안성시금광면신양복길1","031","031-677-4492","1175"
"경기안양시관양비산점","경기","안양시","경기 안양시 동안구 평촌대로","경기안양시동안구평촌대로382","031","031-386-4490","1175"
"경기안양시관양지구점","경기","안양시","경기 안양시 동안구 관악대로","경기안양시동안구관악대로374번길19","031","031-422-4479","1175"
"경기안양시박달점","경기","안양시","경기 안양시 만안구 양화로","경기안양시만안구양화로148번길15","031","031-445-9282","1175"
"경기안양시비산1호점","경기","안양시","경기 안양시 동안구 경수대로","경기안양시동안구경수대로970-16","031","031-465-0123","1175"
"경기안양시석수점","경기","안양시","경기 안양시 만안구 석천로","경기안양시만안구석천로167-3","031","031-474-7200","1175"
"경기안양시안양1호점","경기","안양시","경기 안양시 만안구 냉천로","경기안양시만안구냉천로175번길6","031","031-465-5882","1175"
"경기안양시안양2호점","경기","안양시","경기 안양시 만안구 냉천로","경기안양시만안구냉천로22","031","031-443-9294","1175"
"경기안양시평촌1호점","경기","안양시","경기 안양시 동안구 달안로","경기안양시동안구달안로153","031","031-387-9922","1175"
"경기안양시평촌2호점","경기","안양시","경기 안양시 동안구 관평로","경기안양시동안구관평로138번길24","031","031-476-2073","1175"
"경기안양시호계2호점","경기","안양시","경기 안양시 동안구 전파로","경기안양시동안구전파로88","031","031-478-8892","1175"
"경기안양시호계갈산점","경기","안양시","경기 안양시 동안구","경기안양시동안구경수대로610번길66","031","031-457-4479","1175"
"경기안양시호계오전점","경기","안양시","경기 안양시 동안구 포도원로","경기안양시동안구포도원로27","031","031-429-4456","1175"
"경기양주시고읍지구점","경기","양주시","경기 양주시 고읍로","경기도양주시고읍로35번길29-7","031","031-845-9282","1175"
"경기양주시광적점","경기","양주시","경기 양주시 광적면 삼일로","경기도양주시광적면삼일로23","031","031-836-3436","1175"
"경기양주시덕계점","경기","양주시","경기 양주시 평화로","경기도양주시평화로1412","031","031-864-9982","1175"
"경기양주시덕정점","경기","양주시","경기 양주시 화합로","경기도양주시화합로1402번길24-50","031","031-859-4977","1175"
"경기양주시백석점","경기","양주시","경기 양주시 백석읍 양주산성로","경기도양주시백석읍양주산성로544","031","031-879-9114","1175"
"경기양주시송추점","경기","양주시","경기 양주시 장흥면 호국로","경기도양주시장흥면호국로569","031","031-826-1934","1175"
"경기양주시신산점","경기","양주시","경기 양주시 남면 개나리길","경기도양주시남면개나리11길38-4","031","031-861-9252","1175"
"경기양주시은현점","경기","양주시","경기 양주시 은현면 은현로","경기양주시은현면은현로61","031","031-861-8955","1175"
"경기양주시장흥점","경기","양주시","경기 양주시 장흥면 호국로","경기도양주시장흥면호국로177","031","031-855-5474","1175"
"경기양평군양평점","경기","양평군","경기 양평군 양평읍 양근로","경기도양평군양평읍해오름길2","031","031-775-3372","1175"
"경기양평군용두리점","경기","양평군","경기 양평군 청운면 용두로","경기도양평군청운면용두로141","031","031-772-4479","1175"
"경기양평군용문점","경기","양평군","경기 양평군 용문면 다문북길","경기도양평군용문면다문북길105","031","031-775-4044","1175"
"경기양평군한화리조트점","경기","양평군","경기 양평군 옥천면 신촌길","경기양평군옥천면신촌길188","031","-","1175"
"경기여주군가남점","경기","여주군","경기 여주군 가남면 경충대로","경기도여주시가남읍경충대로1162-20","031","031-883-8583","1175"
"경기여주군여주읍점","경기","여주군","경기 여주시 여흥로","경기도여주군여주읍여흥로157","031","031-885-8886","1175"
"경기여주군오학점","경기","여주군","경기 여주시 학동 1길","경기여주시학동1길53","031","031-885-4482","1175"
"경기연천군군남점","경기","연천군","경기 연천군 군남면 군왕로","경기도연천군군남면군왕로8","031","031-833-3555","1175"
"경기연천군대광리점","경기","연천군","경기 연천군 신서면 연신로","경기도연천군신서면연신로1155-1","031","031-834-8207","1175"
"경기연천군백학점","경기","연천군","경기 연천군 백학면 두백로","경기도연천군백학면두백로11-6","031","031-835-8508","1175"
"경기연천군연천점","경기","연천군","경기 연천군 연천읍 연천로","경기도연천군연천읍연천로330","031","031-834-8245","1175"
"경기연천군전곡점","경기","연천군","경기도 연천군 전곡읍 은전로","경기도연천군전곡읍은전로78번길30","031","031-832-9956","1175"
"경기오산시궐동점","경기","오산시","경기 오산시 궐동로","경기도오산시궐동로69번길7","031","031-378-4592","1175"
"경기오산시세교신도시점","경기","오산시","경기 오산시 오산대역로","경기도오산시오산대역로132번길30","031","031-374-9492","1175"
"경기오산시운암1점","경기","오산시","경기 오산시 운천로","경기도오산시운천로99","031","031-377-3171","1175"
"경기오산시원동갈곶점","경기","오산시","경기 오산시 밀머리로","경기도오산시밀머리로29","031","031-372-1370","1175"
"경기용인시강남대점","경기","용인시","경기 용인 기흥구 강남동로","경기용인시기흥구강남동로114번길22","031","031-274-1166","1175"
"경기용인시구성점","경기","용인시","경기 용인시 기흥구 마북로","경기도용인시기흥구마북로98","031","031-283-8114","1175"
"경기용인시동백지구점","경기","용인시","경기 용인시 기흥구 평촌로","경기도용인시기흥구평촌2로1번길9-1","031","031-275-0064","1175"
"경기용인시둔전점[B]","경기","용인시","경기 용인시 처인구 포곡읍 포곡로","경기용인시처인구포곡읍포곡로124번길9-1","031","031-321-4447","1175"
"경기용인시모현점","경기","용인시","경기 용인시 처인구 모현면 백옥대로","경기도용인시처인구모현면백옥대로2594","031","031-332-3434","1175"
"경기용인시백암점","경기","용인시","경기 용인시 백암로","경기도용인시처인구백암면백암로201번길13-4","031","031-321-9279","1175"
"경기용인시보라점","경기","용인시","경기 용인시 기흥구 한보라로","경기도용인시기흥구한보라2로14번길7-19","031","031-274-7379","1175"
"경기용인시상갈점","경기","용인시","경기 용인시 기흥구 금화로","경기도용인시기흥구금화로108번길28","031","031-287-4479","1175"
"경기용인시상현점","경기","용인시","경기 용인시 수지구 만현로","경기도용인시수지구만현로100","031","031-276-9291","1175"
"경기용인시서천점","경기","용인시","경기 용인시 기흥구 서천서로","경기도용인시기흥구서천서로12번길4-10","031","031-205-5225","1175"
"경기용인시수지2지구점","경기","용인시","경기 용인시 수지구 정평로","경기도용인시수지구정평로40-3","031","031-265-4988","1175"
"경기용인시신갈점","경기","용인시","경기 용인시 기흥구 용구대로","경기도용인시기흥구용구대로2152번길39","031","031-285-3784","1175"
"경기용인시신봉점","경기","용인시","경기 용인시 수지구 신봉로","경기용인시수지구신봉1로48번길11뉴골드프라자","031","031-263-4479","1175"
"경기용인시양지점","경기","용인시","경기 용인시 처인구 양지면 남곡로","경기용인시처인구양지면남곡로35","031","031-322-2570","1175"
"경기용인시용인1호점","경기","용인시","경기 용인시 처인구 중부대로","경기도용인시처인구중부대로1343번길10-17","031","031-336-9909","1175"
"경기용인시죽전1호점","경기","용인시","경기 용인시 수지구 푸른솔로","경기도용인시수지구푸른솔로81","031","031-263-9555","1175"
"경기용인시죽전2호점","경기","용인시","경기 용인시 수지구 죽전로","경기용인시수지구죽전로255","031","031-889-4777","1175"
"경기용인시풍덕천점","경기","용인시","경기 용인시 수지구 풍덕천로","경기도용인시수지구풍덕천로172번길3-15","031","031-896-6677","1175"
"경기용인시흥덕지구점[B]","경기","용인시","경기 용인시 기흥구 흥덕로","경기용인시기흥구흥덕1로50","031","031-212-4492","1175"
"경기의왕시내손동점","경기","의왕시","경기 의왕시 복지","경기도의왕시복지로82","031","031-426-9282","1175"
"경기의왕시부곡점","경기","의왕시","경기 의왕시 부곡중앙남길","경기도의왕시부곡중앙남6길86","031","031-462-4472","1175"
"경기의정부시가능2점","경기","의정부시","경기 의정부시 가능로","경기의정부시가능로39번길10","031","031-874-5550","1175"
"경기의정부시가능3점","경기","의정부시","경기 의정부시 호국로","경기도의정부시호국로1135번길25","031","031-829-8850","1175"
"경기의정부시금오점","경기","의정부시","경기 의정부시 하금로","경기도의정부시하금로25번길5","031","031-847-9670","1175"
"경기의정부시금오지구점","경기","의정부시","경기 의정부시 청사로","경기도의정부시청사로5번길8-17","031","031-853-9989","1175"
"경기의정부시녹양점","경기","의정부시","경기 의정부시 녹양로","경기의정부시녹양로62번길72","031","031-875-2388","1175"
"경기의정부시망월사역점","경기","의정부시","경기 의정부시 평화로","경기도의정부시평화로196","031","031-875-2929","1175"
"경기의정부시민락용현점","경기","의정부시","경기 의정부시 용현로","경기의정부시용현로120번길3","031","031-852-3400","1175"
"경기의정부시신곡점","경기","의정부시","경기 의정부시 시민로","경기도의정부시시민로176","031","031-842-9995","1175"
"경기의정부시신시가지점","경기","의정부시","경기 의정부시 범골로","경기의정부시범골로82번길30","031","031-879-6160","1175"
"경기의정부시의정부1점","경기","의정부시","경기 의정부시 호국로","경기도의정부시호국로1298번길18","031","031-846-9952","1175"
"경기의정부시장암점","경기","의정부시","경기 의정부시 장곡로","경기도의정부시장곡로322번길14-9","031","031-855-9003","1175"
"경기의정부시호원점","경기","의정부시","경기 의정부시 평화로","경기도의정부시평화로428번길14","031","031-871-0298","1175"
"경기이천시갈산점","경기","이천시","경기 이천시 영창로","경기도이천시영창로314번길51","031","031-634-4402","1175"
"경기이천시관고동점","경기","이천시","경기 이천시 영창로","경기이천시영창로66","031","031-631-7557","1175"
"경기이천시아미점","경기","이천시","경기 이천시 부발읍 경충대로","경기이천시부발읍경충대로2039","031","031-635-3991","1175"
"경기파주시광탄점","경기","파주시","경기 파주시 광탄면 새뜰길","경기도파주시광탄면새뜰길7","031","031-946-4492","1175"
"경기파주시금촌2동점","경기","파주시","경기 파주시 황골로","경기도파주시황골로69","031","031-949-4355","1175"
"경기파주시문산점","경기","파주시","경기 파주시 문산읍 문향로","경기도파주시문산읍문향로30","031","031-953-9479","1175"
"경기파주시법원리점","경기","파주시","경기 파주시 법원읍 사임당로","경기파주시법원읍사임당로791","031","031-959-1017","1175"
"경기파주시봉일천점","경기","파주시","경기 파주시 조리읍 송비말길","경기도파주시조리읍송비말길22","031","031-947-4192","1175"
"경기파주시선유점","경기","파주시","경기 파주시 문산읍 독서울길","경기파주시문산읍독서울1길22","031","031-953-1842","1175"
"경기파주시운정1점","경기","파주시","경기 파주시 와석순환로","경기파주시와석순환로307","031","031-948-2332","1175"
"경기파주시운정3점","경기","파주시","경기 파주시 한빛로","경기도파주시한빛로9","031","031-948-4472","1175"
"경기파주시적성점","경기","파주시","경기 파주시 적성면 청송로","경기파주시적성면청송로1020","031","031-958-7999","1175"
"경기파주시LCD점","경기","파주시","경기 파주시 월롱면 엘씨디로","경기파주시월롱면엘씨디로8번길34","031","031-949-3536","1175"
"경기평택시비전1호점","경기","평택시","경기 평택시 중앙로","경기평택시중앙로213","031","031-651-4479","1175"
"경기평택시세교점","경기","평택시","경기 평택시 세교상가길","경기평택시세교상가5길22","031","031-654-9288","1175"
"경기평택시소사벌점","경기","평택시","경기 평택시 비전6길","경기평택시비전6길28-5","031","031-692-9292","1175"
"경기평택시안중점","경기","평택시","경기 평택시 안중읍 안현로서길","경기도평택시안중읍안현로서3길91","031","031-682-8414","1175"
"경기평택시용이지구점","경기","평택시","경기 평택시 현신로","경기도평택시현신로212","031","031-656-4479","1175"
"경기평택시이충장당점","경기","평택시","경기 평택시 이충로","경기도평택시서정역로36번길70-9","031","031-666-4479","1175"
"경기평택시지산점","경기","평택시","경기 평택시 지산로","경기도평택시지산로108-6","031","031-667-4492","1175"
"경기평택시청북점","경기","평택시","경기 평택시 청북면 안청로","경기도평택시청북면안청로1길12","031","031-682-8556","1175"
"경기평택시팽성점[B]","경기","평택시","경기 평택시 팽성읍 팽성대교길","경기도평택시팽성읍팽성대교길14","031","031-691-4479","1175"
"경기평택시포승점","경기","평택시","경기 평택시 포승읍 여술로","경기도평택시포승읍여술로43번길18","031","031-686-9799","1175"
"경기포천시가산점","경기","포천시","경기 포천시 가산면 가산로","경기포천시가산면가산로324","031","031-541-9585","1175"
"경기포천시내촌점","경기","포천시","경기 포천시 내촌면 내촌로","경기도포천시내촌면내촌로26","031","031-531-3222","1175"
"경기포천시송우점","경기","포천시","경기 포천시 소흘읍 봉솔로길","경기도포천시소흘읍봉솔로3길17","031","031-543-4244","1175"
"경기포천시신읍리점","경기","포천시","경기 포천시 왕방로","경기도포천시왕방로159","031","031-531-9280","1175"
"경기포천시양문점","경기","포천시","경기 포천시 영중면 양문로","경기도포천시영중면양문로87-1","031","031-532-6608","1175"
"경기포천시운천점","경기","포천시","경기 포천시 영북면 운천로","경기포천시영북면운천로16","031","031-534-9293","1175"
"경기포천시이동점","경기","포천시","경기 포천시 이동면 성장로","경기도포천시이동면장암1길9-1","031","031-531-9289","1175"
"경기포천시일동점","경기","포천시","경기 포천시 일동면 화동로","경기도포천시일동면화동로1063번길1-2","031","031-531-9288","1175"
"경기하남시덕풍점","경기","하남시","경기 하남시 신평로","경기도하남시신평로101번길27","031","031-795-1140","1175"
"경기하남시미사1점","경기","하남시","경기도 하남시 미사강변한강로","경기하남시미사강변한강로220번길27","031","031-792-7792","1175"
"경기하남시신장점","경기","하남시","경기 하남시 하남대로","경기도하남시하남대로777번길37","031","031-795-1120","1175"
"경기화성시남양점","경기","화성시","경기 화성시 남양시장로","경기도화성시남양시장로60","031","031-355-4484","1175"
"경기화성시동탄1호점","경기","화성시","경기 화성시 동탄지성로","경기화성시동탄지성로92","031","031-613-4492","1175"
"경기화성시동탄2호점","경기","화성시","경기 화성시 동탄반석로","경기도화성시동탄반석로39","031","031-613-1344","1175"
"경기화성시동탄3호점","경기","화성시","경기 화성시 여울로","경기화성시여울로21","031","031-8015-4479","1175"
"경기화성시동탄역점","경기","화성시","경기 화성시 동탄대로","경기도화성시동탄대로21가길4-31","031","031-375-4492","1175"
"경기화성시동탄청계점","경기","화성시","경기 화성시 동탄치 동천로 3길","경기화성시동탄치동천로3길28-1","031","031-374-4482","1175"
"경기화성시병점1호점","경기","화성시","경기 화성시 경기대로","경기도화성시경기대로1010번길18","031","031-234-9986","1175"
"경기화성시봉담점","경기","화성시","경기 화성시 봉담읍 오래길","경기화성시봉담읍오래2길5102호","031","031-297-4470","1175"
"경기화성시안녕점","경기","화성시","경기 화성시 화산중앙로","경기도화성시화산중앙로64번길3","031","031-235-4314","1175"
"경기화성시와우리점","경기","화성시","경기 화성시 봉담읍 와우로","경기도화성시봉담읍와우로119번길36-5","031","031-225-9291","1175"
"경기화성시팔탄점","경기","화성시","경기 화성시 팔탄면 구장길","경기화성시팔탄면구장길7","031","031-354-8550","1175"
"경기화성시향남1지구점","경기","화성시","경기 화성시 향남읍 행정서로2길","경기도화성시향남읍행정서로2길14-18","031","031-366-6200","1175"
"경기화성시향남2지구점","경기","화성시","경기 화성시 향남읍 한절이길","경기도화성시향남읍한절이2길14","031","031-358-0119","1175"
"경남거제시거제면점","경남","거제시","경남 거제시 읍내로","경남거제시거제면읍내로45","055","055-632-9266","1175"
"경남거제시상동점","경남","거제시","경남 거제시 거제중앙로","경남거제시거제중앙로1807","055","055-638-4481","1175"
"경남거제시아주점","경남","거제시","경남 거제시 용소길","경남거제시용소1길94","055","055-681-4442","1175"
"경남거제시옥포점","경남","거제시","경남 거제시 옥포대첩로","경남거제시옥포대첩로7길31","055","055-687-9234","1175"
"경남거제시장승포점","경남","거제시","경남 거제시 장승포로","경남거제시장승포로16","055","055-682-1073","1175"
"경남거제시장평점","경남","거제시","경남 거제시 장평로","경남거제시장평2로2길10","055","055-632-4492","1175"
"경남거제시중곡점","경남","거제시","경남 거제시 중곡로","경남거제시중곡로47","055","055-635-5092","1175"
"경남거제시지세포점","경남","거제시","경남 거제시 일운면 거제대로","경남거제시일운면거제대로2491103호","055","055-681-9892","1175"
"경남거창군거창1점","경남","거창군","경남 거창군 거창읍 아림로","경남거창군거창읍아림로47-1","055","055-943-4479","1175"
"경남고성군고성점","경남","고성군","경남 고성군 고성읍 성내로","경남고성군고성읍성내로27","055","055-673-5579","1175"
"경남김해시동상점","경남","김해시","경남 김해시 호계로","경남김해시호계로510","055","055-332-4479","1175"
"경남김해시삼계점","경남","김해시","경남 김해시 가야로","경남김해시가야로157번길17-18","055","055-339-9288","1175"
"경남김해시삼방점","경남","김해시","경남 김해시 삼안로","경남김해시삼안로158","055","055-335-4492","1175"
"경남김해시외동점","경남","김해시","경남 김해시 함박로","경남김해시함박로51","055","055-312-4492","1175"
"경남김해시율하1점","경남","김해시","경남 김해시 율하로","경남김해시율하1로12","055","055-321-4418","1175"
"경남김해시장유1호점","경남","김해시","경남 김해시 능동로","경남김해시능동로7번길15","055","055-311-4999","1175"
"경남김해시진례점","경남","김해시","경남 김해시 진례면 송현로","경남김해시진례면송현로57","055","055-346-4469","1175"
"경남김해시진영점","경남","김해시","경남 김해시 진영읍 장등로","경남김해시진영읍장등로19번길67101호","055","055-342-4485","1175"
"경남김해시팔판점","경남","김해시","경남 김해시 팔판로","경남김해시팔판로32","055","055-314-4492","1175"
"경남김해시한림점","경남","김해시","경남 김해시 한림면 한림로","경남김해시한림면한림로422번길4-2","055","055-345-9676","1175"
"경남남해군남해점","경남","남해군","경남 남해군 남해읍 화전로","경남남해군남해읍화전로78번가길23","055","055-864-1700","1175"
"경남남해군상주점","경남","남해군","경남 남해군 상주면 남해대로","경남남해군상주면남해대로697","055","055-862-9049","1175"
"경남마산시해운점","경남","창원시","경남 창원시 마산합포구 월영동길","경남창원시마산합포구월영동11길42","055","055-241-8896","1175"
"경남마산시호계점","경남","창원시","경남 창원시 마산회원구 내서읍 호원로","경남창원시마산회원구내서읍호원로190","055","055-231-5666","1175"
"경남밀양시내일점","경남","밀양시","경남 밀양시 약산로","경남밀양시약산로33","055","055-353-4992","1175"
"경남밀양시삼문점","경남","밀양시","경남 밀양시 미리벌중앙로 85","경남밀양시미리벌중앙로85","055","055-356-7077","1175"
"경남사천시사천점[B]","경남","사천시","경남 사천시 정동면 진삼로","경남사천시정동면진삼로1324","055","055-852-4479","1175"
"경남사천시삼천포점","경남","사천시","경남 사천시 벌리로","경남사천시벌리로17","055","055-833-4498","1175"
"경남산청군덕산점","경남","산청군","경남 산청군 시천면 남명로","경남산청군시천면남명로203-3","055","055-973-4004","1175"
"경남양산시남부점","경남","양산시","경남 양산시 중앙로","경남양산시양주로42","055","055-382-4492","1175"
"경남양산시덕계1호점","경남","양산시","경남 양산시 평산남4길","경남양산시평산남4길8","055","055-367-4780","1175"
"경남양산시범어점","경남","양산시","경남 양산시 물금읍 화합길","경남양산시물금읍화합길26","055","055-382-9299","1175"
"경남양산시북정점","경남","양산시","경남 양산시 북정중앙로","경남양산시북정중앙로14","055","055-365-4492","1175"
"경남양산시서창점","경남","양산시","경남 양산시 삼호동부길","경남양산시삼호동부7길10","055","055-366-9255","1175"
"경남양산시석산점","경남","양산시","경남 양산시 동면 금오길","경남양산시동면금오7길6","055","055-382-4479","1175"
"경남양산시어곡점","경남","양산시","경남 양산시 어실로","경남양산시어실로155","055","055-910-5595","1175"
"경남양산시증산1호점","경남","양산시","경남 양산시 물금읍 백호길","경남양산시물금읍백호2길17-10","055","055-384-4492","1175"
"경남의령군의령점","경남","의령군","경남 의령군 의령읍 의병로","경남의령군의령읍의병로20길25-3","055","055-572-4492","1175"
"경남진주시가호점","경남","진주시","경남 진주시 개양로","경남진주시진주대로542번길7","055","055-756-2008","1175"
"경남진주시금산점","경남","진주시","경남 진주시 금산면 금산로","경남진주시금산면금산로52번길4","055","055-761-0144","1175"
"경남진주시도동점","경남","진주시","경남 진주시 대신로","경남진주시대신로363","055","055-763-4482","1175"
"경남진주시망경점","경남","진주시","경남 진주시 진주대로","경남진주시진주대로953번길10","055","055-763-4492","1175"
"경남진주시문산혁신점","경남","진주시","경남 진주시 문산읍 소문길","경남진주시문산읍소문길21","055","055-756-4477","1175"
"경남진주시상대점","경남","진주시","경남 진주시 돗골로","경남진주시돗골로117번길4","055","055-753-7856","1175"
"경남진주시신안점","경남","진주시","경남 진주시 진양호로","경남진주시진양호로311-1","055","055-741-1255","1175"
"경남진주시중앙상봉점","경남","진주시","경남 진주시 진주성로","경남진주시진주성로87","055","055-746-4479","1175"
"경남진주시판문점","경남","진주시","경남 진주시 새평거로","경남진주시새평거로75상가-104호","055","055-745-4479","1175"
"경남진해시석동점","경남","창원시","경남 창원시 진해구 진해대로","경남창원시진해구진해대로801번길14","055","055-551-4492","1175"
"경남창녕군남지점","경남","창녕군","경남 창녕군 난지읍 남지중앙2길","경남창녕군남지읍남지중앙2길69103-1호","055","055-536-9277","1175"
"경남창원시가음점","경남","창원시","경남 창원시 성산구 가양로","경남창원시성산구가양로48-1","055","055-283-9989","1175"
"경남창원시감계점","경남","창원시","경남 창원시 의창구 북면 감계로","경남창원시의창구북면감계로297휴먼빌아파","055","055-298-4417","1175"
"경남창원시내서삼계점","경남","창원시","경남 창원시 마산회원구 내서읍 삼계숲길","경남창원시마산회원구내서읍삼계숲길27","055","055-231-9989","1175"
"경남창원시대방점","경남","창원시","경남 창원시 성산구 대암로","경남창원시성산구대암로1161층","055","055-285-4492","1175"
"경남창원시도계점","경남","창원시","경남 창원시 의창구 원이대로","경남창원시의창구원이대로69번길301층","055","055-265-4492","1175"
"경남창원시동읍점","경남","창원시","경남 창원시 의창구 동읍 의창대로","경남창원시의창구동읍의창대로868-1","055","055-292-4479","1175"
"경남창원시명곡점","경남","창원시","경남 창원시 의창구 명지로","경남창원시의창구명지로84번길9","055","055-288-4479","1175"
"경남창원시반송1호점","경남","창원시","경남 창원시 의창구 용지로153번길","경남창원시의창구용지로153번길10","055","055-266-4499","1175"
"경남창원시반지점","경남","창원시","경남 창원시 성산구 반송로","경남창원시성산구반송로22","055","055-237-4479","1175"
"경남창원시봉곡점","경남","창원시","경남 창원시 의창구 봉곡로","경남창원시의창구봉곡로56","055","055-277-4495","1175"
"경남창원시북면온천점","경남","창원시","경남 창원시 의창구 북면 천주로","경남창원시의창구북면천주로1165번길21","055","055-298-8899","1175"
"경남창원시사파점","경남","창원시","경남 창원시 성산구 동산로","경남창원시성산구동산로194","055","055-267-8001","1175"
"경남창원시상남점","경남","창원시","경남 창원시 성산구 토월로","경남창원시성산구토월로80","055","055-282-1157","1175"
"경남창원시석전점","경남","창원시","경남 창원시 마산회원구 석전남8길","경남창원시마산회원구석전남8길59","055","055-255-4492","1175"
"경남창원시소답점","경남","창원시","경남 창원시 의창구 읍성로","경남창원시의창구읍성로17번길8","055","055-251-4479","1175"
"경남창원시양덕1호점","경남","창원시","경남 창원시 마산회원구 양덕북길","경남창원시마산회원구양덕북10길8","055","055-251-4492","1175"
"경남창원시용원점","경남","창원시","경남 창원시 진해구 안골로","경남창원시진해구안골로348","055","055-552-4492","1175"
"경남창원시월영점","경남","창원시","경남 창원시 마산합포구 월영북로","경남창원시마산합포구월영북로21","055","055-247-4482","1175"
"경남창원시중앙여좌점","경남","창원시","경남 창원시 진해구 편백로","경남창원시진해구편백로14번길12-1","055","055-542-9942","1175"
"경남창원시진동점","경남","창원시","경남 창원시 마산합포구 진동면 삼진의거대로","경남창원시마산합포구진동면삼진의거대로639","055","055-271-9444","1175"
"경남창원시창동점","경남","창원시","경남 창원시 마산합포구 남성로","경남창원시마산합포구남성로130-1","055","055-222-4492","1175"
"경남창원시팔용점","경남","창원시","경남 창원시 의창구 남산로","경남창원시의창구남산로251층","055","055-297-4491","1175"
"경남창원시풍호점","경남","창원시","경남 창원시 진해구 풍호로","경남창원시진해구풍호로61","055","055-547-4492","1175"
"경남창원시합성1호점","경남","창원시","경남 창원시 마산회원구 합성동길","경남창원시마산회원구합성동6길13","055","055-255-4479","1175"
"경남창원시회원점","경남","창원시","경남 창원시 마산회원구 북성로","경남창원시마산회원구북성로166","055","055-248-1794","1175"
"경남창원시NC다이노스점","경남","창원시","경남 창원시 마산회원구 삼호로","경남창원시마산회원구삼호로63","055","-","1175"
"경남통영시도남점","경남","통영시","경남 통영시 서송정1길","경남통영시서송정1길32-3","055","055-645-6737","1175"
"경남통영시북신점","경남","통영시","경남 통영시 북신동 해미당길","경남통영시북신동해미당화목토길화목토0","055","055-642-5592","1175"
"경남통영시죽림점","경남","창원시","경남 통영시 광도면 죽림3로","경남통영시광도면죽림3로43-11","055","055-649-4479","1175"
"경남하동군하동점","경남","하동군","경남 하동군 하동읍 중앙로","경남하동군하동읍중앙로18","055","055-884-4431","1175"
"경남함안군군북점","경남","함안군","경남 함안군 군북면 중암길","경남함안군군북면중암7길12","055","055-584-9289","1175"
"경남함안군함안점","경남","함안군","경남 함안군 가야읍 함안대로","경남함안군가야읍함안대로555","055","055-585-9289","1175"
"경남함양군서하점","경남","함양군","경남 함양군 서하면 함양남서로","경남함양군서하면함양남서로3938","055","055-963-9266","1175"
"경남함양군함양점","경남","함양군","경남 함양군 함양읍 용평길","경남함양군함양읍용평길8","055","055-963-6446","1175"
"경남합천군합천점","경남","합천군","경남 합천군 합천읍 충효로","경남합천군합천읍충효로98-17","055","055-932-0015","1175"
"경북경산시계양사동점","경북","경산시","경북 경산시 계양로","경북경산시계양로8길38","053","053-802-4482","1175"
"경북경산시서부백천점","경북","경산시","경북 경산시 경산로","경북경산시경산로28부영2차아파트상가103호","053","053-801-9900","1175"
"경북경산시영대점","경북","경산시","경북 경산시 대학로","경북경산시대학로61길6-5","053","053-818-8992","1175"
"경북경산시옥산정평점","경북","경산시","경북 경산시 대학로","경북경산시대학로16길31","053","053-812-6636","1175"
"경북경산시진량점","경북","경산시","경북 경산시 진량읍 영청길","경북경산시진량읍영청길15","053","053-857-9995","1175"
"경북경산시하양점","경북","경산시","경북 경산시 하양읍 하양역길","경북경산시하양읍하양역길18","053","053-853-4479","1175"
"경북경주시강동점","경북","경주시","경북 경주시 강동면 동해대로","경북경주시강동면동해대로166-11","054","054-762-4479","1175"
"경북경주시건천점","경북","경주시","경북 경주시 건천읍 대곡용명길","경북경주시건천읍대곡용명길24","054","054-751-4479","1175"
"경북경주시금장점","경북","경주시","경북 경주시 현곡면 안현로","경북경주시현곡면안현로68-3","054","054-743-4479","1175"
"경북경주시내남점","경북","경주시","경북 경주시 이조중앙길","경북경주시내남면이조중앙길13-1","054","054-748-4479","1175"
"경북경주시동천점","경북","경주시","경북 경주시 동천로","경북경주시동천로30번길14-2","054","054-775-9973","1175"
"경북경주시성건점","경북","경주시","경북 경주시 금성로","경북경주시금성로396번길5","054","054-774-9901","1175"
"경북경주시안강점","경북","경주시","경북 경주시 안강읍 구부랑길","경북경주시안강읍구부랑길42","054","054-761-8999","1175"
"경북경주시외동점","경북","경주시","경북 경주시 입실로","경북경주시외동읍입실로1길58","054","054-741-4479","1175"
"경북경주시충효점","경북","경주시","경북 경주시 충효녹지길","경북경주시충효녹지길36-6","054","054-776-4479","1175"
"경북경주시황성점","경북","경주시","경북 경주시 황성로","경북경주시황성로69번길38-6","054","054-776-5770","1175"
"경북고령군고령점","경북","고령군","경북 고령군 고령읍 시장길","경북고령군고령읍시장1길11","054","054-954-4479","1175"
"경북구미시공단비산점","경북","구미시","경상북도 구미시 비산로5길","경상북도구미시비산로5길28","054","054-463-5066","1175"
"경북구미시봉곡도량점","경북","구미시","경북 구미시 도봉로","경북구미시도봉로3길3-3","054","054-443-4482","1175"
"경북구미시산동확장단지점","경북","구미시","경북 구미시 산동면 신당인덕1로","경북구미시산동면신당인덕1로139","054","054-473-4479","1175"
"경북구미시상모사곡점","경북","구미시","경북 구미시 상사서로","경북구미시상사서로12길3","054","054-465-4479","1175"
"경북구미시선산점","경북","구미시","경북 구미시 선산읍 남문로","경북구미시선산읍남문로3길17","054","054-481-9191","1175"
"경북구미시송정원평점","경북","구미시","경북 구미시 금오산로","경북구미시금오산로22길15-14","054","054-443-4479","1175"
"경북구미시신평점","경북","구미시","경북 구미시 신비로","경상북도구미시신비로26","054","054-463-4479","1175"
"경북구미시옥계점","경북","구미시","경북 구미시 산호대로","경북구미시산호대로25길26-3","054","054-471-4490","1175"
